Behavior,Timestamp,Together,Note,Date,Activity_Type
Eating,2025-06-16 16:21:53.115000+00:00,Yes,No note provided,2025-06-16,Shared
Resting,2025-06-16 17:08:52.533000+00:00,No,No note provided,2025-06-16,Solo
Interacting,2025-06-16 17:47:38.666000+00:00,Yes,No note provided,2025-06-16,Shared
Cuddling,2025-06-16 18:32:29.417000+00:00,Yes,No note provided,2025-06-16,Shared
Cuddling,2025-06-16 18:45:27.827000+00:00,Yes,Waiting for treats,2025-06-16,Shared
Eating,2025-06-16 19:33:56.803000+00:00,No,No note provided,2025-06-16,Solo
Eating,2025-06-16 19:35:44.512000+00:00,No,(drinking),2025-06-16,Solo
Eating,2025-06-16 20:37:53.110000+00:00,No,No note provided,2025-06-16,Solo
Resting,2025-06-16 21:43:38.172000+00:00,Yes,No note provided,2025-06-16,Shared
Interacting,2025-06-17 06:31:30.762000+00:00,Yes,Interacting with human; waiting for breakfast,2025-06-17,Shared
Eating,2025-06-17 07:18:05.489000+00:00,No,No note provided,2025-06-17,Solo
Eating,2025-06-17 09:05:53.351000+00:00,Yes,No note provided,2025-06-17,Shared
Resting,2025-06-17 10:17:06.284000+00:00,No,No note provided,2025-06-17,Solo
Resting,2025-06-17 11:17:20.059000+00:00,No,No note provided,2025-06-17,Solo
Resting,2025-06-17 13:03:35.595000+00:00,No,No note provided,2025-06-17,Solo
Resting,2025-06-17 13:43:51.656000+00:00,Yes,No note provided,2025-06-17,Shared
Resting,2025-06-17 14:02:28.900000+00:00,Yes,No note provided,2025-06-17,Shared
Resting,2025-06-17 15:06:45.822000+00:00,Yes,No note provided,2025-06-17,Shared
Eating,2025-06-17 15:56:30.849000+00:00,Yes,No note provided,2025-06-17,Shared
Eating,2025-06-17 17:05:15.662000+00:00,Yes,No note provided,2025-06-17,Shared
Resting,2025-06-17 18:07:07.902000+00:00,Yes,No note provided,2025-06-17,Shared
Eating,2025-06-17 19:45:25.116000+00:00,Yes,No note provided,2025-06-17,Shared
Exploring,2025-06-17 20:35:34.738000+00:00,No,No note provided,2025-06-17,Solo
Grooming,2025-06-18 05:26:06.517000+00:00,Yes,No note provided,2025-06-18,Shared
Playing,2025-06-18 07:02:22.324000+00:00,Yes,No note provided,2025-06-18,Shared
Resting,2025-06-18 08:35:27.568000+00:00,No,No note provided,2025-06-18,Solo
Eating,2025-06-18 09:26:30.157000+00:00,Yes,No note provided,2025-06-18,Shared
Resting,2025-06-18 10:40:27.764000+00:00,No,No note provided,2025-06-18,Solo
Grooming,2025-06-18 10:52:21.093000+00:00,Yes,No note provided,2025-06-18,Shared
Grooming,2025-06-18 11:48:04.107000+00:00,No,No note provided,2025-06-18,Solo
Resting,2025-06-18 12:45:38.852000+00:00,No,No note provided,2025-06-18,Solo
Resting,2025-06-18 13:26:18.497000+00:00,No,No note provided,2025-06-18,Solo
Eating,2025-06-18 15:33:04.074000+00:00,No,No note provided,2025-06-18,Solo
Eating,2025-06-18 16:32:49.882000+00:00,No,No note provided,2025-06-18,Solo
Playing,2025-06-18 18:22:26.919000+00:00,Yes,No note provided,2025-06-18,Shared
Eating,2025-06-18 19:54:55.869000+00:00,Yes,No note provided,2025-06-18,Shared
Resting,2025-06-18 20:23:02.167000+00:00,No,No note provided,2025-06-18,Solo
Eating,2025-06-18 21:44:10.599000+00:00,Yes,No note provided,2025-06-18,Shared
Thumping,2025-06-19 06:56:48.966000+00:00,No,No note provided,2025-06-19,Solo
Jumping,2025-06-19 06:57:04.512000+00:00,No,No note provided,2025-06-19,Solo
Running,2025-06-19 07:20:02.879000+00:00,Yes,Excited about breakfast,2025-06-19,Shared
Resting,2025-06-19 08:23:13.665000+00:00,Yes,"One rabbit in cage, one outside, but close together",2025-06-19,Shared
Eating,2025-06-19 08:56:57.748000+00:00,Yes,No note provided,2025-06-19,Shared
Resting,2025-06-19 10:08:46.783000+00:00,No,No note provided,2025-06-19,Solo
Resting,2025-06-19 10:56:21.993000+00:00,No,No note provided,2025-06-19,Solo
Resting,2025-06-19 11:48:05.017000+00:00,No,No note provided,2025-06-19,Solo
Resting,2025-06-19 14:20:01.318000+00:00,No,No note provided,2025-06-19,Solo
